2025-09-23 23:43:05,310 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:43:05.310617", "path": "/tmp/a"}
2025-09-23 23:43:05,320 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:44:05 UTC)" (scheduled at 2025-09-23 23:43:05.235611+00:00)
2025-09-23 23:43:05,366 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:44:05 UTC)" executed successfully
2025-09-23 23:43:05,395 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:43:05.395335", "path": "/etc/hosts"}
2025-09-23 23:43:05,396 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:44:05 UTC)" executed successfully
2025-09-23 23:43:28,218 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:44:28 UTC)" (scheduled at 2025-09-23 23:43:28.116885+00:00)
2025-09-23 23:43:28,220 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:43:28.220139", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:43:28,221 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:44:28 UTC)" executed successfully
2025-09-23 23:43:28,252 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:44:28 UTC)" (scheduled at 2025-09-23 23:43:28.148276+00:00)
2025-09-23 23:43:28,253 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:43:28.253646", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:43:28,254 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:44:28 UTC)" executed successfully
2025-09-23 23:44:05,302 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:05 UTC)" (scheduled at 2025-09-23 23:44:05.183867+00:00)
2025-09-23 23:44:05,336 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:44:05.336410", "path": "/tmp/foo/test"}
2025-09-23 23:44:05,351 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:05 UTC)" (scheduled at 2025-09-23 23:44:05.209414+00:00)
2025-09-23 23:44:05,353 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:05 UTC)" executed successfully
2025-09-23 23:44:05,360 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:44:05.360370", "path": "/tmp/a"}
2025-09-23 23:44:05,370 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:05 UTC)" (scheduled at 2025-09-23 23:44:05.235611+00:00)
2025-09-23 23:44:05,378 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:05 UTC)" executed successfully
2025-09-23 23:44:05,415 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:44:05.415262", "path": "/etc/hosts"}
2025-09-23 23:44:05,417 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:05 UTC)" executed successfully
2025-09-23 23:44:28,228 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:28 UTC)" (scheduled at 2025-09-23 23:44:28.116885+00:00)
2025-09-23 23:44:28,229 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:44:28.229252", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:44:28,230 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:28 UTC)" executed successfully
2025-09-23 23:44:28,247 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:28 UTC)" (scheduled at 2025-09-23 23:44:28.148276+00:00)
2025-09-23 23:44:28,248 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:44:28.248671", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:44:28,249 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:45:28 UTC)" executed successfully
2025-09-23 23:45:05,276 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:46:05 UTC)" (scheduled at 2025-09-23 23:45:05.183867+00:00)
2025-09-23 23:45:05,311 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:45:05.311566", "path": "/tmp/foo/test"}
2025-09-23 23:45:05,325 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:46:05 UTC)" (scheduled at 2025-09-23 23:45:05.209414+00:00)
